name,country,birth_date,discipline,age,gender,height_in_m,height_in_feet,birth_place,birth_country,residence_place,residence_country,event_name,event_rank,event_medal
FORMIGA,Brazil,3 Mar 1978,Football,43,Female,1.62,5'3'',SALVADOR,Brazil,PARIS,France,Women,6,NA
FOROUGHI Javad,Islamic Republic of Iran,11 Sep 1979,Shooting,41,Male,NA,NA,,,ILAM,Islamic Republic of Iran,10m Air Pistol Men,1,Gold
FOROUGHI Javad,Islamic Republic of Iran,11 Sep 1979,Shooting,41,Male,NA,NA,,,ILAM,Islamic Republic of Iran,10m Air Pistol Mixed Team,5,NA
FORTE Julian,Jamaica,7 Jan 1993,Athletics,28,Male,NA,NA,SAINT ANDREW,Jamaica,JAMAICA,,Men's 200m,,NA
FORTE Julian,Jamaica,7 Jan 1993,Athletics,28,Male,NA,NA,SAINT ANDREW,Jamaica,JAMAICA,,Men's 4 x 100m Relay,5,NA
FORTIN Valentine,France,24 Apr 1999,Cycling Track,22,Female,NA,NA,,,,,Women's Team Pursuit,7,NA
FORTUNA Antonela,Argentina,10 May 1995,Volleyball,26,Female,1.78,5'10'',SANTA FE,Argentina,,,Women,11,NA
FORTUNATO Francesco,Italy,13 Dec 1994,Athletics,26,Male,NA,NA,ANDRIA,Italy,ROME,Italy,Men's 20km Race Walk,15,NA
FOSS Tobias S.,Norway,25 May 1997,Cycling Road,24,Male,NA,NA,,,LILLEHAMMER,Norway,Men's Road Race,61,NA
FOSS Tobias S.,Norway,25 May 1997,Cycling Road,24,Male,NA,NA,,,LILLEHAMMER,Norway,Men's Individual Time Trial,23,NA
FOSSALI Ludovico,Italy,21 May 1997,Sport Climbing,24,Male,1.85,6'0'',,,,,Men's Combined,19,NA
FOSTI Roman,Estonia,6 Jun 1983,Athletics,38,Male,NA,NA,PARNU,Estonia,TALLINN,Estonia,Men's Marathon,68,NA
FOTOFILI Ronald Lawrence,Tonga,6 Jul 1998,Athletics,23,Male,NA,NA,,,,,Men's 100m,,NA
FOTOUH Ahmed,Egypt,22 Mar 1998,Football,23,Male,1.77,5'9'',,,,,Men,8,NA
FOTOUHI Mohammad,Islamic Republic of Iran,5 Dec 1990,Fencing,30,Male,NA,NA,,,,,Men's Sabre Team,6,NA
FOUAD Karim,Egypt,1 Oct 1999,Football,21,Male,1.75,5'8'',,,GIZA,Egypt,Men,8,NA
FOUDA Polina,Egypt,17 Jun 2003,Rhythmic Gymnastics,18,Female,NA,NA,,Latvia,,,Group All-Around,,NA
FOUNTOULIS Ioannis,Greece,25 May 1988,Water Polo,33,Male,1.85,6'0'',KHIOS,Greece,BUDAPEST,Hungary,Men,2,Silver
FOURNIER Evan,France,29 Oct 1992,Basketball,28,Male,1.99,6'6'',CHARENTON,France,,,Men,2,Silver
FOWLER Andrew,Guyana,9 Dec 1995,Swimming,25,Male,NA,NA,,,,,Men's 100m Freestyle,,NA
FOWLES Sylvia,United States of America,6 Oct 1985,Basketball,35,Female,1.98,6'5'',"MIAMI, FL",United States of America,,,Women,1,Gold
FOX Jessica,Australia,11 Jun 1994,Canoe Slalom,27,Female,NA,NA,MARSEILLE,France,"SYDNEY, NSW",Australia,Women's Kayak,3,Bronze
FOX Jessica,Australia,11 Jun 1994,Canoe Slalom,27,Female,NA,NA,MARSEILLE,France,"SYDNEY, NSW",Australia,Women's Canoe,1,Gold
FOX Ryan,New Zealand,22 Jan 1987,Golf,34,Male,NA,NA,AUCKLAND,New Zealand,AUCKLAND,New Zealand,Men's Individual Stroke Play,42,NA
FRADE Luis,Portugal,11 Sep 1998,Handball,22,Male,1.94,6'4'',,,BARCELONA,Spain,Men,9,NA
FRAFJORD Marit Malm,Norway,25 Nov 1985,Handball,35,Female,1.82,5'11'',TROMSO,Norway,DENMARK,,Women,3,Bronze
FRAGA Pedro,Portugal,27 Jan 1983,Rowing,38,Male,1.75,5'8'',PORTO,Portugal,,,Lightweight Men's Double Sculls,13,NA
FRAGA Samory,Brazil,29 Nov 1996,Athletics,24,Male,NA,NA,PORTO ALEGRE,Brazil,PORTO ALEGRE,Brazil,Men's Long Jump,,NA
FRAGKAKI Eleni,Greece,14 Feb 2004,Artistic Swimming,17,Female,1.80,5'10'',,,,,Team,DNS,NA
FRAILE MATARRANZ Omar,Spain,17 Jul 1990,Cycling Road,31,Male,1.84,6'0'',SANTURTZI,Spain,,,Men's Road Race,DNF,NA
FRAINCART Sarah,Morocco,6 Jul 1999,Rowing,22,Female,1.68,5'6'',,France,TROYES,France,Women's Single Sculls,29,NA
FRANCESCHI Sara,Italy,1 Feb 1999,Swimming,22,Female,NA,NA,LIVORNO,Italy,LIVORNO,Italy,Women's 200m Individual Medley,,NA
FRANCESCHI Sara,Italy,1 Feb 1999,Swimming,22,Female,NA,NA,LIVORNO,Italy,LIVORNO,Italy,Women's 400m Individual Medley,,NA
FRANCH Adrianna,United States of America,12 Nov 1990,Football,30,Female,1.74,5'8'',"SALINA, KS",United States of America,"PORTLAND, OR",United States of America,Women,3,Bronze
FRANCIS Danusia,Jamaica,13 May 1994,Artistic Gymnastics,27,Female,1.62,5'3'',COVENTRY,Great Britain,LONDON,Great Britain,Women's Uneven Bars,,NA
FRANCISCO Juan,Dominican Republic,24 Jun 1987,Baseball/Softball,34,Male,1.87,6'1'',BONAO,Dominican Republic,,,Baseball,3,Bronze
FRANCISCO Luiz,Brazil,24 Jul 2000,Skateboarding,21,Male,NA,NA,,Brazil,SAO PAULO,Brazil,Men's Park,4,NA
FRANK Nicole,Uruguay,8 Sep 2003,Swimming,17,Female,NA,NA,,,"FORT LAUDERDALE, FL",United States of America,Women's 200m Individual Medley,,NA
FRANK Tanja,Austria,24 Jan 1993,Sailing,28,Female,1.67,5'5'',VIENNA,Austria,VIENNA,Austria,Women's Skiff - 49er FX,17,NA
FRANKEL Tomer,Israel,18 Oct 2000,Swimming,20,Male,NA,NA,,,,,Men's 100m Butterfly,,NA
FRANKEL Tomer,Israel,18 Oct 2000,Swimming,20,Male,NA,NA,,,,,Men's 4 x 200m Freestyle Relay,,NA
FRANKLIN Larissa,Canada,26 Mar 1993,Baseball/Softball,28,Female,1.73,5'8'',"MAPLE RIDGE, BC",Canada,"MAPLE RIDGE, BC",Canada,Softball,3,Bronze
FRANKLIN Mallory,Great Britain,19 Jun 1994,Canoe Slalom,27,Female,NA,NA,ASCOT,Great Britain,CHESHUNT,Great Britain,Women's Canoe,2,Silver
FRANKLIN Tori,United States of America,7 Oct 1992,Athletics,28,Female,NA,NA,"EVANSTON, IL",United States of America,"CHICAGO, IL",United States of America,Women's Triple Jump,,NA
FRANSSEN Juul,Netherlands,18 Jan 1990,Judo,31,Female,NA,NA,VENLO,Netherlands,ROTTERDAM,Netherlands,Women -63 kg,5,NA
FRANSSEN Juul,Netherlands,18 Jan 1990,Judo,31,Female,NA,NA,VENLO,Netherlands,ROTTERDAM,Netherlands,Mixed Team,5,NA
FRANTZESKAKIS Christos,Greece,26 Apr 2000,Athletics,21,Male,NA,NA,KHANIA,Greece,KHANIA,Greece,Men's Hammer Throw,,NA
FRANZISKA Patrick,Germany,11 Jun 1992,Table Tennis,29,Male,NA,NA,BENSHEIM,Germany,SAARBRUCKEN,Germany,Mixed Doubles,5,NA
FRANZISKA Patrick,Germany,11 Jun 1992,Table Tennis,29,Male,NA,NA,BENSHEIM,Germany,SAARBRUCKEN,Germany,Men's Team,2,Silver
FRASCA Loris,France,3 Jul 1995,Artistic Gymnastics,26,Male,1.70,5'6'',FORBACH,France,ANTIBES,France,Men's All-Around,,NA
FRASCA Loris,France,3 Jul 1995,Artistic Gymnastics,26,Male,1.70,5'6'',FORBACH,France,ANTIBES,France,Men's Floor Exercise,,NA
FRASCA Loris,France,3 Jul 1995,Artistic Gymnastics,26,Male,1.70,5'6'',FORBACH,France,ANTIBES,France,Men's Pommel Horse,,NA
FRASCA Loris,France,3 Jul 1995,Artistic Gymnastics,26,Male,1.70,5'6'',FORBACH,France,ANTIBES,France,Men's Rings,,NA
FRASCA Loris,France,3 Jul 1995,Artistic Gymnastics,26,Male,1.70,5'6'',FORBACH,France,ANTIBES,France,Men's Vault,,NA
FRASCA Loris,France,3 Jul 1995,Artistic Gymnastics,26,Male,1.70,5'6'',FORBACH,France,ANTIBES,France,Men's Parallel Bars,,NA
FRASCA Loris,France,3 Jul 1995,Artistic Gymnastics,26,Male,1.70,5'6'',FORBACH,France,ANTIBES,France,Men's Horizontal Bar,,NA
FRASER Brett,Cayman Islands,28 Aug 1989,Swimming,31,Male,NA,NA,GEORGE TOWN,Cayman Islands,"MIAMI BEACH, FL",United States of America,Men's 50m Freestyle,,NA
FRASER Joe,Great Britain,6 Dec 1998,Artistic Gymnastics,22,Male,1.68,5'6'',BIRMINGHAM,Great Britain,BIRMINGHAM,Great Britain,Men's All-Around,9,NA
FRASER Joe,Great Britain,6 Dec 1998,Artistic Gymnastics,22,Male,1.68,5'6'',BIRMINGHAM,Great Britain,BIRMINGHAM,Great Britain,Men's Floor Exercise,,NA
FRASER Joe,Great Britain,6 Dec 1998,Artistic Gymnastics,22,Male,1.68,5'6'',BIRMINGHAM,Great Britain,BIRMINGHAM,Great Britain,Men's Pommel Horse,,NA
FRASER Joe,Great Britain,6 Dec 1998,Artistic Gymnastics,22,Male,1.68,5'6'',BIRMINGHAM,Great Britain,BIRMINGHAM,Great Britain,Men's Rings,,NA
FRASER Joe,Great Britain,6 Dec 1998,Artistic Gymnastics,22,Male,1.68,5'6'',BIRMINGHAM,Great Britain,BIRMINGHAM,Great Britain,Men's Vault,,NA
FRASER Joe,Great Britain,6 Dec 1998,Artistic Gymnastics,22,Male,1.68,5'6'',BIRMINGHAM,Great Britain,BIRMINGHAM,Great Britain,Men's Parallel Bars,8,NA
FRASER Joe,Great Britain,6 Dec 1998,Artistic Gymnastics,22,Male,1.68,5'6'',BIRMINGHAM,Great Britain,BIRMINGHAM,Great Britain,Men's Horizontal Bar,,NA
FRASER Joe,Great Britain,6 Dec 1998,Artistic Gymnastics,22,Male,1.68,5'6'',BIRMINGHAM,Great Britain,BIRMINGHAM,Great Britain,Men's Team,4,NA
FRASER-BEAULIEU Brittany,Canada,27 Aug 1988,Equestrian,32,Female,NA,NA,"NEW GLASGOW, NS",Canada,"MONTREAL, QC",Canada,Dressage Team,11,NA
FRASER-BEAULIEU Brittany,Canada,27 Aug 1988,Equestrian,32,Female,NA,NA,"NEW GLASGOW, NS",Canada,"MONTREAL, QC",Canada,Dressage Individual,18,NA
FRASER-PRYCE Shelly-Ann,Jamaica,27 Dec 1986,Athletics,34,Female,NA,NA,KINGSTON,Jamaica,KINGSTON,Jamaica,Women's 100m,2,Silver
FRASER-PRYCE Shelly-Ann,Jamaica,27 Dec 1986,Athletics,34,Female,NA,NA,KINGSTON,Jamaica,KINGSTON,Jamaica,Women's 200m,4,NA
FRASER-PRYCE Shelly-Ann,Jamaica,27 Dec 1986,Athletics,34,Female,NA,NA,KINGSTON,Jamaica,KINGSTON,Jamaica,Women's 4 x 100m Relay,1,Gold
FRATUS Bruno,Brazil,30 Jun 1989,Swimming,32,Male,NA,NA,MACAE,Brazil,"CORAL SPRINGS, FL",United States of America,Men's 50m Freestyle,3,Bronze
FRAYNE Henry,Australia,14 Apr 1990,Athletics,31,Male,NA,NA,"ADELAIDE, SA",Australia,"BRISBANE, QLD",Australia,Men's Long Jump,,NA
FRAYRE MOCTEZUMA Eder,Mexico,20 Oct 1991,Cycling Road,29,Male,NA,NA,,,,,Men's Road Race,39,NA
FRAZIER Todd,United States of America,12 Feb 1986,Baseball/Softball,35,Male,1.91,6'3'',"POINT PLEASANT, NJ",United States of America,"TOMS RIVER, NJ",United States of America,Baseball,2,Silver
FREDRICSON Peder,Sweden,30 Jan 1972,Equestrian,49,Male,NA,NA,FLEN,Sweden,SIMRISHAMN,Sweden,Jumping Team,1,Gold
FREDRICSON Peder,Sweden,30 Jan 1972,Equestrian,49,Male,NA,NA,FLEN,Sweden,SIMRISHAMN,Sweden,Jumping Individual,2,Silver
FREDRIKSEN Magnus,Norway,24 May 1997,Handball,24,Male,1.88,6'2'',DRAMMEN,Norway,,,Men,7,NA
FREEMAN James,Botswana,28 Mar 2001,Swimming,20,Male,NA,NA,GABORONE,Botswana,"MINNEAPOLIS, MN",United States of America,Men's 200m Freestyle,,NA
FREEMAN James,Botswana,28 Mar 2001,Swimming,20,Male,NA,NA,GABORONE,Botswana,"MINNEAPOLIS, MN",United States of America,Men's 400m Freestyle,,NA
FREI Sina,Switzerland,18 Jul 1997,Cycling Mountain Bike,24,Female,1.51,4'11'',,,UETIKON AM SEE,Switzerland,Women's Cross-country,2,Silver
FREITAS Marcos,Portugal,8 Apr 1988,Table Tennis,33,Male,NA,NA,FUNCHAL,Portugal,CAMARA DE LOBOS,Portugal,Men's Singles,9,NA
FREITAS Marcos,Portugal,8 Apr 1988,Table Tennis,33,Male,NA,NA,FUNCHAL,Portugal,CAMARA DE LOBOS,Portugal,Men's Team,9,NA
FREITAS Patricia,Brazil,10 Mar 1990,Sailing,31,Female,NA,NA,"WASHINGTON, DC",United States of America,,,Women's Windsurfer - RS:X,10,NA
FRENCH Kate,Great Britain,11 Feb 1991,Modern Pentathlon,30,Female,NA,NA,GRAVESEND,Great Britain,BATH,Great Britain,Women's Individual,1,Gold
FRERICHS Courtney,United States of America,18 Jan 1993,Athletics,28,Female,NA,NA,"MUNDELEIN, IL",United States of America,"PORTLAND, OR",United States of America,Women's 3000m Steeplechase,2,Silver
FRERIKS Merel,Netherlands,6 Jan 1998,Handball,23,Female,1.75,5'8'',,,,,Women,5,NA
FREY Johannes,Germany,12 Nov 1996,Judo,24,Male,NA,NA,,,SANKT AUGUSTIN,Germany,Men +100 kg,17,NA
FREY Johannes,Germany,12 Nov 1996,Judo,24,Male,NA,NA,,,SANKT AUGUSTIN,Germany,Mixed Team,3,Bronze
FREY Karl-Richard,Germany,11 Jul 1991,Judo,30,Male,NA,NA,TROISDORF,Germany,SANKT AUGUSTIN,Germany,Men -100 kg,7,NA
FREY Karl-Richard,Germany,11 Jul 1991,Judo,30,Male,NA,NA,TROISDORF,Germany,SANKT AUGUSTIN,Germany,Mixed Team,3,Bronze
FRICKER Samuel,Australia,4 May 2002,Diving,19,Male,NA,NA,,,"SYDNEY, NSW",Australia,Men's 10m Platform,28,NA
FRIEDRICH Lea Sophie,Germany,7 Jan 2000,Cycling Track,21,Female,1.77,5'9'',,Germany,,,Women's Team Sprint,2,Silver
FRIEDRICH Lea Sophie,Germany,7 Jan 2000,Cycling Track,21,Female,1.77,5'9'',,Germany,,,Women's Sprint,5,NA
FRIEDRICH Lea Sophie,Germany,7 Jan 2000,Cycling Track,21,Female,1.77,5'9'',,Germany,,,Women's Keirin,16,NA
FRIEDSAM Anna-Lena,Germany,1 Feb 1994,Tennis,27,Female,1.73,5'8'',NEUWIED,Germany,,,Women's Singles,17,NA
FRIEDSAM Anna-Lena,Germany,1 Feb 1994,Tennis,27,Female,1.73,5'8'',NEUWIED,Germany,,,Women's Doubles,17,NA
FRIESE Jan Eric,Germany,1 Aug 1999,Swimming,22,Male,NA,NA,POTSDAM,Germany,,,Men's 4 x 100m Freestyle Relay,,NA
FRIESS Aline,France,5 Jul 2003,Artistic Gymnastics,18,Female,1.60,5'2'',OBERNAI,France,,,Women's All-Around,,NA
FRIESS Aline,France,5 Jul 2003,Artistic Gymnastics,18,Female,1.60,5'2'',OBERNAI,France,,,Women's Vault,,NA
FRIESS Aline,France,5 Jul 2003,Artistic Gymnastics,18,Female,1.60,5'2'',OBERNAI,France,,,Women's Uneven Bars,,NA
FRIESS Aline,France,5 Jul 2003,Artistic Gymnastics,18,Female,1.60,5'2'',OBERNAI,France,,,Women's Balance Beam,,NA
FRIESS Aline,France,5 Jul 2003,Artistic Gymnastics,18,Female,1.60,5'2'',OBERNAI,France,,,Women's Floor Exercise,,NA
FRIESS Aline,France,5 Jul 2003,Artistic Gymnastics,18,Female,1.60,5'2'',OBERNAI,France,,,Women's Team,6,NA
FRIGO Manuel,Italy,18 Feb 1997,Swimming,24,Male,NA,NA,CITTADELLA,Italy,ROME,Italy,Men's 4 x 100m Freestyle Relay,2,Silver
FRINTOVA Vendula,Czech Republic,4 Sep 1983,Triathlon,37,Female,NA,NA,"NACHOD",Czech Republic,,,Women's Individual,LAP,NA
FROIDEVAUX Robin,Switzerland,17 Oct 1998,Cycling Track,22,Male,1.83,6'0'',,,,,Men's Team Pursuit,8,NA
FROIDEVAUX Robin,Switzerland,17 Oct 1998,Cycling Track,22,Male,1.83,6'0'',,,,,Men's Omnium,,NA
FROIDEVAUX Robin,Switzerland,17 Oct 1998,Cycling Track,22,Male,1.83,6'0'',,,,,Men's Madison,7,NA
FROLKINA Evgeniia,ROC,28 Jul 1997,3x3 Basketball,24,Female,1.82,5'11'',PENZA,Russian Federation,KURSK,Russian Federation,Women,2,Silver
FROLKINA Olga,ROC,28 Jul 1997,3x3 Basketball,24,Female,1.83,6'0'',PENZA,Russian Federation,KURSK,Russian Federation,Women,2,Silver
FROLOV Serhii,Ukraine,14 Apr 1992,Swimming,29,Male,NA,NA,ZAPOROZHYE,Ukraine,ZAPOROZHYE,Ukraine,Men's 800m Freestyle,6,NA
FROLOV Serhii,Ukraine,14 Apr 1992,Swimming,29,Male,NA,NA,ZAPOROZHYE,Ukraine,ZAPOROZHYE,Ukraine,Men's 1500m Freestyle,8,NA
FROSLER Reeve,South Africa,11 Jan 1998,Football,23,Male,1.71,5'7'',GQEBERHA,South Africa,JOHANNESBURG,South Africa,Men,16,NA
FRUERGAARD Maiken,Denmark,11 May 1995,Badminton,26,Female,NA,NA,ODENSE,Denmark,COPENHAGEN,Denmark,Women's Doubles,9,NA
FUAILEFAU Mike,Canada,20 Mar 1992,Rugby Sevens,29,Male,1.84,6'0'',"VICTORIA, BC",Canada,,,Men,8,NA
FUCHS Bruno,Brazil,1 Apr 1999,Football,22,Male,1.99,6'6'',PONTA GROSSA,Brazil,,,Men,1,Gold
FUCHS Florian,Germany,10 Nov 1991,Hockey,29,Male,1.85,6'0'',HAMBURG,Germany,,,Men,4,NA
FUCHS Martin,Switzerland,13 Jul 1992,Equestrian,29,Male,NA,NA,,Switzerland,WANGI,Switzerland,Jumping Team,5,NA
FUCHS Martin,Switzerland,13 Jul 1992,Equestrian,29,Male,NA,NA,,Switzerland,WANGI,Switzerland,Jumping Individual,16,NA
FUCHS Virginia,United States of America,9 Mar 1988,Boxing,33,Female,1.63,5'4'',"HOUSTON, TX",United States of America,"HOUSTON, TX",United States of America,Women's Fly (48-51kg),9,NA
FUENTES ZAVALA Aremi,Mexico,23 May 1993,Weightlifting,28,Female,1.60,5'2'',TONALA,Mexico,MEXICALI,Mexico,Women's 76kg,3,Bronze
FUGLSANG Jakob,Denmark,22 Mar 1985,Cycling Road,36,Male,1.82,5'11'',GENEVA,Switzerland,MONACO,,Men's Road Race,12,NA
FUJII Nanako,Japan,7 May 1999,Athletics,22,Female,NA,NA,"NAKAGAWA",Japan,,,Women's 20km Race Walk,13,NA
FUJII Naonobu,Japan,5 Jan 1992,Volleyball,29,Male,1.83,6'0'',ISHINOMAKI,Japan,,,Men,7,NA
FUJII Shio,Japan,27 Mar 1985,Handball,36,Female,NA,NA,OSAKA,Japan,,,Women,12,NA
FUJISHIMA Hiroki,Japan,23 May 1988,Canoe Sprint,33,Male,NA,NA,,,,,Men's Kayak Four 500m,11,NA
FUJITA Yamato,Japan,18 Dec 1990,Baseball/Softball,30,Female,1.65,5'4'',SASEBO,Japan,,,Softball,1,Gold
FUJITA Yoshikazu,Japan,8 Sep 1993,Rugby Sevens,27,Male,1.84,6'0'',KYOTO,Japan,,,Men,11,NA
FUKSA Martin,Czech Republic,30 Apr 1993,Canoe Sprint,28,Male,1.80,5'10'',,,,,Men's Canoe Single 1000m,5,NA
FUKSA Martin,Czech Republic,30 Apr 1993,Canoe Sprint,28,Male,1.80,5'10'',,,,,Men's Canoe Double 1000m,10,NA
FUKSA Petr,Czech Republic,9 Aug 1998,Canoe Sprint,22,Male,1.81,5'11'',,,,,Men's Canoe Single 1000m,20,NA
FUKSA Petr,Czech Republic,9 Aug 1998,Canoe Sprint,22,Male,1.81,5'11'',,,,,Men's Canoe Double 1000m,10,NA
FUKUMURA Juka,Japan,6 Jun 1996,Artistic Swimming,25,Female,NA,NA,KYOTO,Japan,OSAKA,Japan,Team,4,NA
FUKUSHIMA Daisuke,Japan,20 Sep 1977,Equestrian,43,Male,NA,NA,SAKURA,Japan,GERMANY,,Jumping Team,,NA
FUKUSHIMA Daisuke,Japan,20 Sep 1977,Equestrian,43,Male,NA,NA,SAKURA,Japan,GERMANY,,Jumping Individual,6,NA
FUKUSHIMA Shihomi,Japan,19 Jun 1995,Fencing,26,Female,1.65,5'4'',MUNAKATA,Japan,TOKYO,Japan,Women's Sabre Team,5,NA
FUKUSHIMA Tomoyoshi,Japan,3 Jun 1993,Water Polo,28,Male,1.78,5'10'',,,,,Men,10,NA
FUKUSHIMA Yuki,Japan,6 May 1993,Badminton,28,Female,NA,NA,YATSUSHIRO,Japan,GIFU,Japan,Women's Doubles,5,NA
FUMIC Manuel,Germany,30 Mar 1982,Cycling Mountain Bike,39,Male,1.73,5'8'',KIRCHHEIM UNTER TECK,Germany,STUTTGART,Germany,Men's Cross-country,28,NA
FUMITA Kenichiro,Japan,18 Dec 1995,Wrestling,25,Male,NA,NA,NIRASAKI,Japan,TOKYO,Japan,Men's Greco-Roman 60kg,2,Silver
FUNCH Julie Froelund,Denmark,6 Feb 1997,Canoe Sprint,24,Female,1.68,5'6'',,,,,Women's Kayak Double 500m,18,NA
FUNCH Julie Froelund,Denmark,6 Feb 1997,Canoe Sprint,24,Female,1.68,5'6'',,,,,Women's Kayak Four 500m,8,NA
FUNK Ricarda,Germany,15 Apr 1992,Canoe Slalom,29,Female,NA,NA,BAD NEUENAHR-AHRWEILER,Germany,,,Women's Kayak,1,Gold
FUNNEMARK Endre,Norway,25 Feb 1998,Sailing,23,Male,1.90,6'2'',,,OSLO,Norway,Men's Windsurfer - RS:X,14,NA
FURGESON Colleen,Marshall Islands,21 Nov 1998,Swimming,22,Female,NA,NA,,Marshall Islands,MARSHALL ISLANDS,,Women's 100m Freestyle,,NA
FURK Benedikt,Germany,20 Oct 1988,Hockey,32,Male,1.73,5'8'',,Germany,,,Men,4,NA
FURMAN Alena,Belarus,8 May 1991,Rowing,30,Female,NA,NA,MINSK,Belarus,MINSK,Belarus,Lightweight Women's Double Sculls,11,NA
FURMAN Dzmitry,Belarus,9 Jul 1990,Rowing,31,Male,NA,NA,MIKASHEVICHI,Belarus,MINSK,Belarus,Men's Pair,8,NA
FURTADO Aline,Brazil,2 Oct 1995,Rugby Sevens,25,Female,1.62,5'3'',SAO PAULO,Brazil,,,Women,11,NA
FURTULA Danijel,Montenegro,31 Jul 1992,Athletics,29,Male,NA,NA,MOJKOVAC,Montenegro,MOJKOVAC,Montenegro,Men's Discus Throw,,NA
FURUKAWA Takaharu,Japan,9 Aug 1984,Archery,36,Male,NA,NA,,,,,Men's Individual,3,Bronze
FURUKAWA Takaharu,Japan,9 Aug 1984,Archery,36,Male,NA,NA,,,,,Men's Team,3,Bronze
FURUYAMA Kie,Japan,21 Jul 1997,Cycling Track,24,Female,1.60,5'2'',,,,,Women's Madison,,NA
Greysia POLII,Indonesia,11 Aug 1987,Badminton,33,Female,NA,NA,JAKARTA,Indonesia,JAKARTA,Indonesia,Women's Doubles,1,Gold
GABER IBRAHIM Houssein,Djibouti,1 Jan 1999,Swimming,22,Male,NA,NA,,,,,Men's 50m Freestyle,,NA
GABRIYESOS Tachlowini,Refugee Olympic Team,1 Jan 1998,Athletics,23,Male,NA,NA,,,HAIFA,Israel,Men's Marathon,16,NA
GACINA Andrej,Croatia,21 May 1986,Table Tennis,35,Male,NA,NA,ZADAR,Croatia,ZADAR,Croatia,Men's Singles,33,NA
GACINA Andrej,Croatia,21 May 1986,Table Tennis,35,Male,NA,NA,ZADAR,Croatia,ZADAR,Croatia,Men's Team,9,NA
GACKA Kinga,Poland,25 Oct 2001,Athletics,19,Female,NA,NA,,,,,Women's 4 x 400m Relay,,NA
GAD Mahmoud,Egypt,1 Oct 1998,Football,22,Male,1.87,6'1'',,,,,Men,8,NA
GADIROVA Jennifer,Great Britain,3 Oct 2004,Artistic Gymnastics,16,Female,1.53,5'0'',DUBLIN,Ireland,AYLESBURY,Great Britain,Women's All-Around,13,NA
GADIROVA Jennifer,Great Britain,3 Oct 2004,Artistic Gymnastics,16,Female,1.53,5'0'',DUBLIN,Ireland,AYLESBURY,Great Britain,Women's Vault,,NA
GADIROVA Jennifer,Great Britain,3 Oct 2004,Artistic Gymnastics,16,Female,1.53,5'0'',DUBLIN,Ireland,AYLESBURY,Great Britain,Women's Uneven Bars,,NA
GADIROVA Jennifer,Great Britain,3 Oct 2004,Artistic Gymnastics,16,Female,1.53,5'0'',DUBLIN,Ireland,AYLESBURY,Great Britain,Women's Balance Beam,,NA
GADIROVA Jennifer,Great Britain,3 Oct 2004,Artistic Gymnastics,16,Female,1.53,5'0'',DUBLIN,Ireland,AYLESBURY,Great Britain,Women's Floor Exercise,7,NA
GADIROVA Jennifer,Great Britain,3 Oct 2004,Artistic Gymnastics,16,Female,1.53,5'0'',DUBLIN,Ireland,AYLESBURY,Great Britain,Women's Team,3,Bronze
GADIROVA Jessica,Great Britain,3 Oct 2004,Artistic Gymnastics,16,Female,1.52,4'11'',,,AYLESBURY,Great Britain,Women's All-Around,10,NA
GADIROVA Jessica,Great Britain,3 Oct 2004,Artistic Gymnastics,16,Female,1.52,4'11'',,,AYLESBURY,Great Britain,Women's Vault,,NA
GADIROVA Jessica,Great Britain,3 Oct 2004,Artistic Gymnastics,16,Female,1.52,4'11'',,,AYLESBURY,Great Britain,Women's Uneven Bars,,NA
GADIROVA Jessica,Great Britain,3 Oct 2004,Artistic Gymnastics,16,Female,1.52,4'11'',,,AYLESBURY,Great Britain,Women's Balance Beam,,NA
GADIROVA Jessica,Great Britain,3 Oct 2004,Artistic Gymnastics,16,Female,1.52,4'11'',,,AYLESBURY,Great Britain,Women's Floor Exercise,6,NA
GADIROVA Jessica,Great Britain,3 Oct 2004,Artistic Gymnastics,16,Female,1.52,4'11'',,,AYLESBURY,Great Britain,Women's Team,3,Bronze
GADSDON Luke,Canada,5 May 1997,Rowing,24,Male,1.93,6'3'',,,"HAMILTON, ON",Canada,Men's Four,8,NA
GADZHIEV Magomedmurad,Poland,15 Feb 1988,Wrestling,33,Male,NA,NA,,Russian Federation,PIOTRKOW TRYBUNALSKI,Poland,Men's Freestyle 65kg,7,NA
GADZHIMAGOMEDOV Muslim,ROC,14 Jan 1997,Boxing,24,Male,1.88,6'2'',NITILSUKH,Russian Federation,MAKHACHKALA,Russian Federation,Men's Heavy (81-91kg),2,Silver
GAFFOOR Aniqah,Sri Lanka,23 Jan 2004,Swimming,17,Female,NA,NA,,Sri Lanka,THAILAND,,Women's 100m Butterfly,,NA
GAICH Adolfo,Argentina,26 Feb 1999,Football,22,Male,1.94,6'4'',CORDOBA,Argentina,,,Men,10,NA
GAILEN Blake,Israel,27 Mar 1985,Baseball/Softball,36,Male,1.76,5'9'',"VERDUGO CITY, CA",United States of America,"CHATSWORTH, CA",United States of America,Baseball,5,NA
GAITAN Haramara,Mexico,7 Aug 1996,Badminton,25,Female,NA,NA,,,,,Women's Singles,15,NA
GAITERO MARTIN Alberto,Spain,3 Jul 1996,Judo,25,Male,1.65,5'4'',VALLADOLID,Spain,MADRID,Spain,Men -66 kg,17,NA
GAITHER Tynia,Bahamas,16 Mar 1993,Athletics,28,Female,NA,NA,FREEPORT,Bahamas,"HOUSTON, TX",United States of America,Women's 100m,,NA
